date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 19:17:18 UTC,ETH/USD,1873.6,1872.0,1874.23,1876.46,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:18:20 UTC,ETH/USD,1872.04,1871.81,1874.09,1876.37,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:19:17 UTC,ETH/USD,1872.66,1871.52,1873.93,1876.34,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:20:35 UTC,ETH/USD,1872.91,1871.39,1873.81,1876.23,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:21:17 UTC,ETH/USD,1873.34,1871.43,1873.65,1875.88,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:22:20 UTC,ETH/USD,1873.57,1871.48,1873.56,1875.64,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:23:19 UTC,ETH/USD,1871.96,1871.42,1873.41,1875.39,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:24:19 UTC,ETH/USD,1871.12,1871.18,1873.2,1875.21,"ACHAT (bande basse touchée, 1871.18)",1,0.0,0.51348831,1871.12,,960.8
2026-07-16 19:25:26 UTC,ETH/USD,1871.38,1871.04,1873.02,1875.0,HOLD,1.0,0.0,0.51348831,1871.12,,960.93
2026-07-16 19:26:21 UTC,ETH/USD,1871.32,1871.0,1872.82,1874.63,HOLD,1.0,0.0,0.51348831,1871.12,,960.9
2026-07-16 19:27:17 UTC,ETH/USD,1870.4,1870.64,1872.66,1874.68,HOLD,1.0,0.0,0.51348831,1871.12,,960.43
2026-07-16 19:28:37 UTC,ETH/USD,1871.95,1870.4,1872.58,1874.76,HOLD,1.0,0.0,0.51348831,1871.12,,961.22
2026-07-16 19:29:15 UTC,ETH/USD,1872.99,1870.4,1872.55,1874.7,VENTE (retour à la moyenne atteint),0,960.8,0.0,,0.1,960.8
2026-07-16 19:30:46 UTC,ETH/USD,1874.02,1870.38,1872.59,1874.79,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:31:17 UTC,ETH/USD,1874.16,1870.34,1872.62,1874.91,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:32:20 UTC,ETH/USD,1872.91,1870.41,1872.54,1874.67,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:33:19 UTC,ETH/USD,1873.09,1870.46,1872.5,1874.54,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:34:19 UTC,ETH/USD,1873.0,1870.46,1872.49,1874.51,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:35:27 UTC,ETH/USD,1872.66,1870.46,1872.51,1874.55,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:36:22 UTC,ETH/USD,1874.37,1870.41,1872.61,1874.81,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:37:19 UTC,ETH/USD,1873.03,1870.42,1872.55,1874.68,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:38:24 UTC,ETH/USD,1874.09,1870.42,1872.59,1874.76,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:39:19 UTC,ETH/USD,1874.38,1870.44,1872.71,1874.99,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:40:34 UTC,ETH/USD,1872.34,1870.46,1872.76,1875.05,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:41:17 UTC,ETH/USD,1872.87,1870.46,1872.75,1875.05,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:42:21 UTC,ETH/USD,1873.7,1870.46,1872.74,1875.03,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:43:16 UTC,ETH/USD,1873.22,1870.51,1872.82,1875.12,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:44:20 UTC,ETH/USD,1872.13,1870.67,1872.87,1875.07,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:45:34 UTC,ETH/USD,1871.74,1870.77,1872.9,1875.03,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:46:22 UTC,ETH/USD,1871.88,1870.87,1872.93,1874.99,HOLD,0.0,960.8,0.0,,,960.8
2026-07-16 19:47:18 UTC,ETH/USD,1870.25,1870.74,1872.9,1875.07,"ACHAT (bande basse touchée, 1870.74)",1,0.0,0.51321438,1870.25,,959.84
2026-07-16 19:48:27 UTC,ETH/USD,1869.84,1870.6,1872.88,1875.16,HOLD,1.0,0.0,0.51321438,1870.25,,959.63
2026-07-16 19:49:15 UTC,ETH/USD,1870.18,1870.17,1872.74,1875.3,HOLD,1.0,0.0,0.51321438,1870.25,,959.8
2026-07-16 19:50:34 UTC,ETH/USD,1870.63,1869.8,1872.55,1875.31,HOLD,1.0,0.0,0.51321438,1870.25,,960.03
2026-07-16 19:51:19 UTC,ETH/USD,1872.61,1869.82,1872.47,1875.13,VENTE (retour à la moyenne atteint),0,960.09,0.0,,0.13,960.09
2026-07-16 19:52:18 UTC,ETH/USD,1872.92,1869.82,1872.48,1875.15,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:53:16 UTC,ETH/USD,1872.8,1869.82,1872.47,1875.11,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:54:20 UTC,ETH/USD,1873.0,1869.83,1872.48,1875.13,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:55:23 UTC,ETH/USD,1874.32,1869.83,1872.49,1875.15,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:56:18 UTC,ETH/USD,1873.66,1869.85,1872.47,1875.1,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:57:17 UTC,ETH/USD,1873.0,1869.86,1872.5,1875.15,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:58:18 UTC,ETH/USD,1873.0,1869.86,1872.48,1875.1,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 19:59:16 UTC,ETH/USD,1872.64,1869.92,1872.41,1874.9,HOLD,0.0,960.09,0.0,,,960.09
